System,Outage,Midpoint,Unit,Materials & Mfg,Transport,Use,End-of-Life
Propane,Rare,Fossil resource scarcity,Pt,2.4713903,6.58E-02,5.2747539,1.71E-03
Propane,Rare,"Water consumption, Human health",Pt,0.53465122,2.79E-03,0.15701588,3.48E-05
Propane,Rare,"Water consumption, Terrestrial ecosystem",Pt,5.65E-02,3.22E-04,1.76E-02,4.16E-06
Propane,Rare,"Water consumption, Aquatic ecosystems",Pt,4.73E-06,4.05E-08,2.47E-06,6.11E-10
Sand Battery,Frequent,"Global warming, Human health",Pt,27.974114,1.5943854,0.33487305,0.011351037
Sand Battery,Frequent,"Global warming, Terrestrial ecosystems",Pt,1.3686366,0.078004288,0.01638135,0.000555327
Sand Battery,Frequent,"Global warming, Freshwater ecosystems",Pt,3.74E-05,2.13E-06,4.47E-07,1.52E-08
Sand Battery,Frequent,Stratospheric ozone depletion,Pt,0.004577579,0.000144305,0.000213984,2.29E-06
Sand Battery,Frequent,Ionizing radiation,Pt,0.015925951,0.000154384,0.0005184,5.31E-07
Sand Battery,Frequent,"Ozone formation, Human health",Pt,0.071553284,0.009731562,0.00085072,0.000115441
Sand Battery,Frequent,Fine particulate matter formation,Pt,59.125008,1.5094515,0.69854542,0.017952254
Sand Battery,Frequent,"Ozone formation, Terrestrial ecosystems",Pt,0.16996532,0.023203589,0.002067335,0.000272343
Sand Battery,Frequent,Terrestrial acidification,Pt,0.78604031,0.018262933,0.009024531,0.000191306
Sand Battery,Frequent,Freshwater eutrophication,Pt,0.25758913,0.002028968,0.003263997,8.33E-06
Sand Battery,Frequent,Marine eutrophication,Pt,0.000147266,5.66E-07,3.09E-07,2.97E-09
Sand Battery,Frequent,Terrestrial ecotoxicity,Pt,0.70904189,0.009056366,0.004069959,1.96E-05
Sand Battery,Frequent,Freshwater ecotoxicity,Pt,0.10360187,0.000481013,0.007783678,9.12E-07
Sand Battery,Frequent,Marine ecotoxicity,Pt,0.026867956,0.000158175,0.001466074,3.82E-07
Sand Battery,Frequent,Human carcinogenic toxicity,Pt,181.17661,0.99538465,3.2889437,0.005476614
Sand Battery,Frequent,Human non-carcinogenic toxicity,Pt,34.193647,0.31874337,0.63881932,0.000359435
Sand Battery,Frequent,Land use,Pt,0.27940547,0.018124343,0.041426,-0.000606827
Sand Battery,Frequent,Mineral resource scarcity,Pt,0.16860774,0.0004159,0.001682289,1.87E-06
Sand Battery,Frequent,Fossil resource scarcity,Pt,0.70733453,0.10065438,0.008825811,0.000643112
Sand Battery,Frequent,"Water consumption, Human health",Pt,0.76816784,0.005018399,0.003660232,1.15E-05
Sand Battery,Frequent,"Water consumption, Terrestrial ecosystem",Pt,0.078350666,0.00056508,0.00254898,1.45E-06
Sand Battery,Frequent,"Water consumption, Aquatic ecosystems",Pt,6.07E-06,6.46E-08,3.96E-08,2.44E-10
BESS,Frequent,"Global warming, Human health",Pt,230.20927,4.8677974,0,5.84E-02
BESS,Frequent,"Global warming, Terrestrial ecosystems",Pt,11.262785,0.23814749,0,2.85E-03
BESS,Frequent,"Global warming, Freshwater ecosystems",Pt,3.08E-04,6.50E-06,0,7.80E-08
BESS,Frequent,Stratospheric ozone depletion,Pt,6.36E-02,8.46E-04,0,1.18E-05
BESS,Frequent,Ionizing radiation,Pt,0.26112239,3.49E-04,0,2.73E-06
BESS,Frequent,"Ozone formation, Human health",Pt,0.6582009,5.74E-02,0,5.93E-04
BESS,Frequent,Fine particulate matter formation,Pt,631.27332,11.395657,0,9.23E-02
BESS,Frequent,"Ozone formation, Terrestrial ecosystems",Pt,1.5746426,0.13446124,0,1.40E-03
BESS,Frequent,Terrestrial acidification,Pt,9.6445613,0.18145091,0,9.83E-04
